pegmatitic structure,Image
1.85,I_Pumice_10.jpg
1.2,I_Pumice_11.jpg
1.4,I_Pumice_12.jpg
2.9,I_Rhyolite_01.jpg
2.95,I_Rhyolite_02.jpg
3.35,I_Rhyolite_03.jpg
1.7,I_Rhyolite_04.jpg
1.7,I_Rhyolite_05.jpg
2.95,I_Rhyolite_06.jpg
1.7,I_Rhyolite_07.jpg
1.1,I_Rhyolite_08.jpg
2.65,I_Rhyolite_09.jpg
2.7,I_Rhyolite_10.jpg
1.05,I_Rhyolite_11.jpg
2.8,I_Rhyolite_12.jpg
4.9,M_Amphibolite_01.jpg
1.85,M_Amphibolite_02.jpg
4.45,M_Amphibolite_03.jpg
2.8,M_Amphibolite_04.jpg
3.0,M_Amphibolite_05.jpg
2.35,M_Amphibolite_06.jpg
3.9,M_Amphibolite_07.jpg
4.55,M_Amphibolite_08.jpg
3.65,M_Amphibolite_09.jpg
3.3,M_Amphibolite_10.jpg
4.25,M_Amphibolite_11.jpg
5.55,M_Amphibolite_12.jpg
3.1,M_Anthracite_01.jpg
3.75,M_Anthracite_02.jpg
5.0,M_Anthracite_03.jpg
4.95,M_Anthracite_04.jpg
3.4,M_Anthracite_05.jpg
2.7,M_Anthracite_06.jpg
3.8,M_Anthracite_07.jpg
3.85,M_Anthracite_08.jpg
3.25,M_Anthracite_09.jpg
3.85,M_Anthracite_10.jpg
3.75,M_Anthracite_11.jpg
4.85,M_Anthracite_12.jpg
2.1,M_Gneiss_01.jpg
3.35,M_Gneiss_02.jpg
2.4,M_Gneiss_03.jpg
3.1,M_Gneiss_04.jpg
2.45,M_Gneiss_05.jpg
1.75,M_Gneiss_06.jpg
2.6,M_Gneiss_07.jpg
3.7,M_Gneiss_08.jpg
2.4,M_Gneiss_09.jpg
2.85,M_Gneiss_10.jpg
2.25,M_Gneiss_11.jpg
3.0,M_Gneiss_12.jpg
2.15,M_Hornfels_01.jpg
1.25,M_Hornfels_02.jpg
1.9,M_Hornfels_03.jpg
1.35,M_Hornfels_04.jpg
1.9,M_Hornfels_05.jpg
1.7,M_Hornfels_06.jpg
2.15,M_Hornfels_07.jpg
1.85,M_Hornfels_08.jpg
1.75,M_Hornfels_09.jpg
1.15,M_Hornfels_10.jpg
2.0,M_Hornfels_11.jpg
2.0,M_Hornfels_12.jpg
3.7,M_Marble_01.jpg
2.35,M_Marble_02.jpg
1.1,M_Marble_03.jpg
2.8,M_Marble_04.jpg
3.45,M_Marble_05.jpg
2.8,M_Marble_06.jpg
2.3,M_Marble_07.jpg
3.35,M_Marble_08.jpg
3.6,M_Marble_09.jpg
3.7,M_Marble_10.jpg
3.75,M_Marble_11.jpg
4.35,M_Marble_12.jpg
2.2,M_Migmatite_01.jpg
1.75,M_Migmatite_02.jpg
1.75,M_Migmatite_03.jpg
2.35,M_Migmatite_04.jpg
2.0,M_Migmatite_05.jpg
3.4,M_Migmatite_06.jpg
3.5,M_Migmatite_07.jpg
2.6,M_Migmatite_08.jpg
3.35,M_Migmatite_09.jpg
2.15,M_Migmatite_10.jpg
2.9,M_Migmatite_11.jpg
1.7,M_Migmatite_12.jpg
4.35,M_Phyllite_01.jpg
1.75,M_Phyllite_02.jpg
2.05,M_Phyllite_03.jpg
2.5,M_Phyllite_04.jpg
1.25,M_Phyllite_05.jpg
1.8,M_Phyllite_06.jpg
1.65,M_Phyllite_07.jpg
2.75,M_Phyllite_08.jpg
2.1,M_Phyllite_09.jpg
1.45,M_Phyllite_10.jpg
2.8,M_Phyllite_11.jpg
2.6,M_Phyllite_12.jpg
2.1,M_Quartzite_01.jpg
1.65,M_Quartzite_02.jpg
2.55,M_Quartzite_03.jpg
2.55,M_Quartzite_04.jpg
2.0,M_Quartzite_05.jpg
2.65,M_Quartzite_06.jpg
1.55,M_Quartzite_07.jpg
1.85,M_Quartzite_08.jpg
2.35,M_Quartzite_09.jpg
3.0,M_Quartzite_10.jpg
1.5,M_Quartzite_11.jpg
1.3,M_Quartzite_12.jpg
1.7,M_Schist_01.jpg
3.2,M_Schist_02.jpg
4.1,M_Schist_03.jpg
3.45,M_Schist_04.jpg
3.05,M_Schist_05.jpg
3.95,M_Schist_06.jpg
3.4,M_Schist_07.jpg
5.3,M_Schist_08.jpg
3.4,M_Schist_09.jpg
3.2,M_Schist_10.jpg
5.15,M_Schist_11.jpg
4.3,M_Schist_12.jpg
1.65,M_Slate_01.jpg
1.8,M_Slate_02.jpg
1.05,M_Slate_03.jpg
1.05,M_Slate_04.jpg
1.2,M_Slate_05.jpg
1.4,M_Slate_06.jpg
1.15,M_Slate_07.jpg
1.1,M_Slate_08.jpg
2.35,M_Slate_09.jpg
1.35,M_Slate_10.jpg
1.25,M_Slate_11.jpg
1.35,M_Slate_12.jpg
2.7,S_Bituminous Coal_01.jpg
4.05,S_Bituminous Coal_02.jpg
2.6,S_Bituminous Coal_03.jpg
3.3,S_Bituminous Coal_04.jpg
2.35,S_Bituminous Coal_05.jpg
2.0,S_Bituminous Coal_06.jpg
2.05,S_Bituminous Coal_07.jpg
2.75,S_Bituminous Coal_08.jpg
2.8,S_Bituminous Coal_09.jpg
2.9,S_Bituminous Coal_10.jpg
2.95,S_Bituminous Coal_11.jpg
2.4,S_Bituminous Coal_12.jpg
4.7,S_Breccia_01.jpg
5.4,S_Breccia_02.jpg
3.75,S_Breccia_03.jpg
3.15,S_Breccia_04.jpg
6.6,S_Breccia_05.jpg
4.55,S_Breccia_06.jpg
5.0,S_Breccia_07.jpg
6.55,S_Breccia_08.jpg
4.95,S_Breccia_09.jpg
4.4,S_Breccia_10.jpg
5.45,S_Breccia_11.jpg
4.6,S_Breccia_12.jpg
3.5,S_Chert_01.jpg
1.7,S_Chert_02.jpg
2.65,S_Chert_03.jpg
1.4,S_Chert_04.jpg
1.5,S_Chert_05.jpg
1.9,S_Chert_06.jpg
1.35,S_Chert_07.jpg
4.0,S_Chert_08.jpg
3.45,S_Chert_09.jpg
2.75,S_Chert_10.jpg
5.85,S_Chert_11.jpg
1.85,S_Chert_12.jpg
4.2,S_Conglomerate_01.jpg
4.55,S_Conglomerate_02.jpg
4.0,S_Conglomerate_03.jpg
6.05,S_Conglomerate_04.jpg
6.7,S_Conglomerate_05.jpg
2.7,S_Conglomerate_06.jpg
2.6,S_Conglomerate_07.jpg
3.95,S_Conglomerate_08.jpg
3.35,S_Conglomerate_09.jpg
3.2,S_Conglomerate_10.jpg
4.1,S_Conglomerate_11.jpg
1.95,S_Conglomerate_12.jpg
1.1,S_Dolomite_01.jpg
3.35,S_Dolomite_02.jpg
2.35,S_Dolomite_03.jpg
1.35,S_Dolomite_04.jpg
1.55,S_Dolomite_05.jpg
2.65,S_Dolomite_06.jpg
1.15,S_Dolomite_07.jpg
1.25,S_Dolomite_08.jpg
1.6,S_Dolomite_09.jpg
1.4,S_Dolomite_10.jpg
2.35,S_Dolomite_11.jpg
1.25,S_Dolomite_12.jpg
1.95,S_Micrite_01.jpg
1.3,S_Micrite_02.jpg
1.8,S_Micrite_03.jpg
2.0,S_Micrite_04.jpg
2.15,S_Micrite_05.jpg
1.35,S_Micrite_06.jpg
1.35,S_Micrite_07.jpg
2.15,S_Micrite_08.jpg
1.75,S_Micrite_09.jpg
1.0,S_Micrite_10.jpg
1.3,S_Micrite_11.jpg
2.1,S_Micrite_12.jpg
2.9,S_Rock Gypsum_01.jpg
3.1,S_Rock Gypsum_02.jpg
2.95,S_Rock Gypsum_03.jpg
4.25,S_Rock Gypsum_04.jpg
3.5,S_Rock Gypsum_05.jpg
2.05,S_Rock Gypsum_06.jpg
2.2,S_Rock Gypsum_07.jpg
4.0,S_Rock Gypsum_08.jpg
5.0,S_Rock Gypsum_09.jpg
3.25,S_Rock Gypsum_10.jpg
3.2,S_Rock Gypsum_11.jpg
4.2,S_Rock Gypsum_12.jpg
4.8,S_Rock Salt_01.jpg
5.3,S_Rock Salt_02.jpg
5.0,S_Rock Salt_03.jpg
7.4,S_Rock Salt_04.jpg
3.55,S_Rock Salt_05.jpg
5.75,S_Rock Salt_06.jpg
4.95,S_Rock Salt_07.jpg
5.05,S_Rock Salt_08.jpg
6.4,S_Rock Salt_09.jpg
3.5,S_Rock Salt_10.jpg
3.15,S_Rock Salt_11.jpg
5.05,S_Rock Salt_12.jpg
1.95,S_Sandstone_01.jpg
1.25,S_Sandstone_02.jpg
1.1,S_Sandstone_03.jpg
1.0,S_Sandstone_04.jpg
1.5,S_Sandstone_05.jpg
2.2,S_Sandstone_06.jpg
1.55,S_Sandstone_07.jpg
1.15,S_Sandstone_08.jpg
1.75,S_Sandstone_09.jpg
1.55,S_Sandstone_10.jpg
1.45,S_Sandstone_11.jpg
1.65,S_Sandstone_12.jpg
1.25,S_Shale_01.jpg
1.9,S_Shale_02.jpg
1.15,S_Shale_03.jpg
1.1,S_Shale_04.jpg
1.45,S_Shale_05.jpg
2.55,S_Shale_06.jpg
1.8,S_Shale_07.jpg
1.25,S_Shale_08.jpg
2.35,S_Shale_09.jpg
1.45,S_Shale_10.jpg
1.9,S_Shale_11.jpg
1.2,S_Shale_12.jpg
