pegmatitic structure,porphyritic texture,conchoidal fracture,Image
3.2,5.43,1.4,I_Gabbro_03.jpg
4.5,5.19,1.87,I_Gabbro_04.jpg
3.15,4.95,1.4,I_Gabbro_05.jpg
3.1,4.05,2.4,I_Gabbro_06.jpg
3.65,7.9,1.47,I_Gabbro_07.jpg
2.7,3.48,1.87,I_Gabbro_08.jpg
3.4,3.14,2.53,I_Gabbro_09.jpg
2.3,3.62,2.27,I_Gabbro_10.jpg
1.55,3.57,1.93,I_Gabbro_11.jpg
2.4,4.43,2.0,I_Gabbro_12.jpg
5.3,6.9,1.4,I_Granite_01.jpg
3.3,5.67,1.6,I_Granite_02.jpg
3.75,5.9,2.27,I_Granite_03.jpg
3.5,5.95,1.87,I_Granite_04.jpg
3.3,5.81,1.67,I_Granite_05.jpg
3.7,5.52,1.73,I_Granite_06.jpg
3.9,5.9,1.73,I_Granite_07.jpg
3.9,5.9,1.67,I_Granite_08.jpg
5.3,6.52,2.33,I_Granite_09.jpg
4.4,5.81,1.73,I_Granite_10.jpg
4.15,6.24,1.73,I_Granite_11.jpg
3.65,6.14,2.27,I_Granite_12.jpg
3.05,1.9,7.6,I_Obsidian_01.jpg
3.95,1.24,8.33,I_Obsidian_02.jpg
3.5,1.43,7.2,I_Obsidian_03.jpg
4.15,1.05,8.33,I_Obsidian_04.jpg
5.4,5.71,8.2,I_Obsidian_05.jpg
5.1,2.24,8.73,I_Obsidian_06.jpg
4.85,2.38,7.47,I_Obsidian_07.jpg
4.8,1.38,9.0,I_Obsidian_08.jpg
3.85,1.0,8.87,I_Obsidian_09.jpg
3.9,1.24,8.2,I_Obsidian_10.jpg
3.05,1.05,8.27,I_Obsidian_11.jpg
3.9,1.05,8.87,I_Obsidian_12.jpg
5.25,5.62,1.73,I_Pegmatite_01.jpg
5.6,5.19,2.53,I_Pegmatite_02.jpg
5.75,6.57,2.67,I_Pegmatite_03.jpg
5.85,5.62,2.67,I_Pegmatite_04.jpg
5.55,5.86,2.67,I_Pegmatite_05.jpg
4.45,4.33,2.6,I_Pegmatite_06.jpg
8.2,6.1,1.8,I_Pegmatite_07.jpg
8.25,4.62,4.4,I_Pegmatite_08.jpg
6.4,5.0,3.87,I_Pegmatite_09.jpg
6.0,3.9,3.33,I_Pegmatite_10.jpg
8.75,5.1,3.33,I_Pegmatite_11.jpg
5.4,6.1,3.27,I_Pegmatite_12.jpg
2.1,3.57,2.0,I_Peridotite_01.jpg
3.9,5.43,1.87,I_Peridotite_02.jpg
4.75,7.67,1.93,I_Peridotite_03.jpg
4.35,7.14,2.2,I_Peridotite_04.jpg
3.75,3.76,2.4,I_Peridotite_05.jpg
5.95,5.71,2.93,I_Peridotite_06.jpg
3.05,5.67,1.73,I_Peridotite_07.jpg
3.55,5.95,1.67,I_Peridotite_08.jpg
3.55,6.48,1.6,I_Peridotite_09.jpg
4.5,5.71,1.87,I_Peridotite_10.jpg
2.4,6.19,1.33,I_Peridotite_11.jpg
4.35,6.95,1.47,I_Peridotite_12.jpg
1.35,2.95,1.47,I_Pumice_01.jpg
1.8,2.81,1.2,I_Pumice_02.jpg
1.3,2.57,1.6,I_Pumice_03.jpg
1.2,2.76,1.33,I_Pumice_04.jpg
1.2,2.33,1.4,I_Pumice_05.jpg
1.45,2.67,1.6,I_Pumice_06.jpg
1.7,3.48,1.6,I_Pumice_07.jpg
1.2,2.71,1.4,I_Pumice_08.jpg
1.2,2.33,1.6,I_Pumice_09.jpg
1.85,4.1,1.47,I_Pumice_10.jpg
1.2,3.24,2.0,I_Pumice_11.jpg
1.4,3.95,1.8,I_Pumice_12.jpg
2.9,7.05,1.4,I_Rhyolite_01.jpg
2.95,7.71,1.4,I_Rhyolite_02.jpg
3.35,4.62,3.13,I_Rhyolite_03.jpg
1.7,3.62,4.47,I_Rhyolite_04.jpg
1.7,3.57,2.93,I_Rhyolite_05.jpg
2.95,6.1,3.8,I_Rhyolite_06.jpg
1.7,2.05,3.73,I_Rhyolite_07.jpg
1.1,2.14,2.8,I_Rhyolite_08.jpg
2.65,7.57,1.93,I_Rhyolite_09.jpg
2.7,7.14,2.07,I_Rhyolite_10.jpg
1.05,1.57,2.8,I_Rhyolite_11.jpg
2.8,7.9,1.47,I_Rhyolite_12.jpg
4.9,5.86,2.67,M_Amphibolite_01.jpg
1.85,2.33,2.53,M_Amphibolite_02.jpg
4.45,4.24,5.2,M_Amphibolite_03.jpg
2.8,3.57,2.4,M_Amphibolite_04.jpg
3.0,5.48,1.33,M_Amphibolite_05.jpg
2.35,4.05,2.2,M_Amphibolite_06.jpg
3.9,5.24,2.33,M_Amphibolite_07.jpg
4.55,3.95,4.0,M_Amphibolite_08.jpg
3.65,5.19,2.6,M_Amphibolite_09.jpg
3.3,4.9,2.87,M_Amphibolite_10.jpg
4.25,7.14,1.6,M_Amphibolite_11.jpg
5.55,6.14,2.27,M_Amphibolite_12.jpg
3.1,1.19,6.07,M_Anthracite_01.jpg
3.75,1.38,5.6,M_Anthracite_02.jpg
5.0,2.24,3.87,M_Anthracite_03.jpg
4.95,1.95,7.13,M_Anthracite_04.jpg
3.4,1.14,5.67,M_Anthracite_05.jpg
2.7,2.1,3.67,M_Anthracite_06.jpg
3.8,1.38,6.27,M_Anthracite_07.jpg
3.85,1.05,5.87,M_Anthracite_08.jpg
3.25,1.33,7.47,M_Anthracite_09.jpg
3.85,2.57,4.27,M_Anthracite_10.jpg
3.75,1.76,4.47,M_Anthracite_11.jpg
4.85,2.14,6.33,M_Anthracite_12.jpg
2.1,4.1,3.2,M_Gneiss_01.jpg
3.35,4.33,2.73,M_Gneiss_02.jpg
2.4,3.86,2.47,M_Gneiss_03.jpg
3.1,3.71,2.47,M_Gneiss_04.jpg
2.45,4.95,2.33,M_Gneiss_05.jpg
1.75,3.1,2.47,M_Gneiss_06.jpg
2.6,3.0,2.8,M_Gneiss_07.jpg
3.7,3.43,2.6,M_Gneiss_08.jpg
2.4,3.81,2.67,M_Gneiss_09.jpg
2.85,4.52,1.87,M_Gneiss_10.jpg
2.25,3.19,1.93,M_Gneiss_11.jpg
3.0,4.0,3.27,M_Gneiss_12.jpg
2.15,1.67,4.4,M_Hornfels_01.jpg
1.25,2.33,2.33,M_Hornfels_02.jpg
1.9,1.05,3.53,M_Hornfels_03.jpg
1.35,2.52,2.73,M_Hornfels_04.jpg
1.9,1.33,4.2,M_Hornfels_05.jpg
1.7,2.48,4.4,M_Hornfels_06.jpg
2.15,2.29,4.0,M_Hornfels_07.jpg
1.85,3.62,3.0,M_Hornfels_08.jpg
1.75,2.95,2.33,M_Hornfels_09.jpg
1.15,2.38,2.53,M_Hornfels_10.jpg
2.0,4.62,2.07,M_Hornfels_11.jpg
2.0,1.71,4.2,M_Hornfels_12.jpg
3.7,3.86,2.07,M_Marble_01.jpg
2.35,1.29,3.47,M_Marble_02.jpg
1.1,1.57,2.07,M_Marble_03.jpg
2.8,3.29,2.6,M_Marble_04.jpg
3.45,2.38,2.4,M_Marble_05.jpg
2.8,2.57,3.13,M_Marble_06.jpg
2.3,5.05,2.4,M_Marble_07.jpg
3.35,2.86,2.33,M_Marble_08.jpg
3.6,3.14,2.6,M_Marble_09.jpg
3.7,3.33,2.53,M_Marble_10.jpg
3.75,4.81,2.87,M_Marble_11.jpg
4.35,3.29,2.8,M_Marble_12.jpg
2.2,3.24,3.27,M_Migmatite_01.jpg
1.75,3.71,1.73,M_Migmatite_02.jpg
1.75,2.81,3.6,M_Migmatite_03.jpg
2.35,2.71,3.0,M_Migmatite_04.jpg
2.0,2.86,3.27,M_Migmatite_05.jpg
3.4,3.48,3.07,M_Migmatite_06.jpg
3.5,3.95,3.93,M_Migmatite_07.jpg
2.6,4.19,2.53,M_Migmatite_08.jpg
3.35,5.33,2.27,M_Migmatite_09.jpg
2.15,4.62,1.93,M_Migmatite_10.jpg
2.9,3.05,2.6,M_Migmatite_11.jpg
1.7,2.67,3.6,M_Migmatite_12.jpg
4.35,6.86,3.13,M_Phyllite_01.jpg
1.75,2.38,3.47,M_Phyllite_02.jpg
2.05,2.24,4.07,M_Phyllite_03.jpg
2.5,4.43,3.4,M_Phyllite_04.jpg
1.25,1.57,3.07,M_Phyllite_05.jpg
1.8,1.48,4.6,M_Phyllite_06.jpg
1.65,2.71,2.6,M_Phyllite_07.jpg
2.75,2.14,4.87,M_Phyllite_08.jpg
2.1,2.24,4.4,M_Phyllite_09.jpg
1.45,2.71,3.53,M_Phyllite_10.jpg
2.8,3.86,2.4,M_Phyllite_11.jpg
2.6,2.1,3.47,M_Phyllite_12.jpg
2.1,4.05,2.47,M_Quartzite_01.jpg
1.65,1.9,3.2,M_Quartzite_02.jpg
2.55,5.29,1.6,M_Quartzite_03.jpg
2.55,3.95,2.13,M_Quartzite_04.jpg
2.0,2.62,2.4,M_Quartzite_05.jpg
2.65,3.43,3.0,M_Quartzite_06.jpg
1.55,1.52,3.6,M_Quartzite_07.jpg
1.85,2.76,2.13,M_Quartzite_08.jpg
2.35,4.76,2.4,M_Quartzite_09.jpg
3.0,3.62,2.53,M_Quartzite_10.jpg
1.5,3.86,2.6,M_Quartzite_11.jpg
1.3,2.29,1.93,M_Quartzite_12.jpg
1.7,2.57,2.33,M_Schist_01.jpg
3.2,3.95,2.33,M_Schist_02.jpg
4.1,4.76,2.13,M_Schist_03.jpg
3.45,4.71,2.6,M_Schist_04.jpg
3.05,2.33,4.0,M_Schist_05.jpg
3.95,5.95,2.93,M_Schist_06.jpg
3.4,4.24,2.53,M_Schist_07.jpg
5.3,5.9,2.53,M_Schist_08.jpg
3.4,5.52,2.4,M_Schist_09.jpg
3.2,4.19,1.93,M_Schist_10.jpg
5.15,6.86,1.93,M_Schist_11.jpg
4.3,5.9,1.87,M_Schist_12.jpg
1.65,2.29,3.13,M_Slate_01.jpg
1.8,1.43,4.73,M_Slate_02.jpg
1.05,1.62,3.4,M_Slate_03.jpg
1.05,1.43,3.13,M_Slate_04.jpg
1.2,1.67,3.2,M_Slate_05.jpg
1.4,1.62,3.53,M_Slate_06.jpg
1.15,1.43,2.93,M_Slate_07.jpg
1.1,1.48,4.2,M_Slate_08.jpg
2.35,1.9,3.4,M_Slate_09.jpg
1.35,1.62,3.67,M_Slate_10.jpg
1.25,1.62,5.73,M_Slate_11.jpg
1.35,1.38,3.33,M_Slate_12.jpg
2.7,2.57,4.07,S_Bituminous Coal_01.jpg
4.05,1.71,6.87,S_Bituminous Coal_02.jpg
2.6,1.9,3.73,S_Bituminous Coal_03.jpg
3.3,2.52,4.47,S_Bituminous Coal_04.jpg
2.35,2.48,3.4,S_Bituminous Coal_05.jpg
2.0,1.9,3.67,S_Bituminous Coal_06.jpg
2.05,1.9,4.13,S_Bituminous Coal_07.jpg
2.75,1.71,4.6,S_Bituminous Coal_08.jpg
2.8,1.0,8.33,S_Bituminous Coal_09.jpg
2.9,1.52,4.47,S_Bituminous Coal_10.jpg
2.95,1.05,5.27,S_Bituminous Coal_11.jpg
2.4,2.86,3.47,S_Bituminous Coal_12.jpg
4.7,5.9,3.13,S_Breccia_01.jpg
5.4,7.81,2.07,S_Breccia_02.jpg
3.75,7.33,2.4,S_Breccia_03.jpg
3.15,6.19,2.73,S_Breccia_04.jpg
6.6,7.14,1.93,S_Breccia_05.jpg
4.55,6.19,2.0,S_Breccia_06.jpg
5.0,8.33,1.27,S_Breccia_07.jpg
6.55,7.81,2.53,S_Breccia_08.jpg
4.95,4.67,4.2,S_Breccia_09.jpg
4.4,7.95,1.6,S_Breccia_10.jpg
5.45,8.24,1.8,S_Breccia_11.jpg
4.6,7.9,1.4,S_Breccia_12.jpg
3.5,2.62,6.07,S_Chert_01.jpg
1.7,1.48,4.47,S_Chert_02.jpg
2.65,1.95,6.4,S_Chert_03.jpg
1.4,1.81,3.73,S_Chert_04.jpg
1.5,2.05,5.6,S_Chert_05.jpg
1.9,2.43,5.27,S_Chert_06.jpg
1.35,1.71,3.4,S_Chert_07.jpg
4.0,2.14,7.67,S_Chert_08.jpg
3.45,2.0,6.07,S_Chert_09.jpg
2.75,2.33,8.13,S_Chert_10.jpg
5.85,3.33,7.73,S_Chert_11.jpg
1.85,2.05,5.53,S_Chert_12.jpg
4.2,6.62,1.6,S_Conglomerate_01.jpg
4.55,8.29,1.87,S_Conglomerate_02.jpg
4.0,8.0,1.93,S_Conglomerate_03.jpg
6.05,7.48,1.33,S_Conglomerate_04.jpg
6.7,8.0,1.93,S_Conglomerate_05.jpg
2.7,5.81,1.93,S_Conglomerate_06.jpg
2.6,7.43,1.2,S_Conglomerate_07.jpg
3.95,7.67,1.6,S_Conglomerate_08.jpg
3.35,7.86,1.8,S_Conglomerate_09.jpg
3.2,7.76,2.53,S_Conglomerate_10.jpg
4.1,8.33,1.8,S_Conglomerate_11.jpg
1.95,2.43,2.6,S_Conglomerate_12.jpg
1.1,2.1,2.53,S_Dolomite_01.jpg
3.35,3.71,2.87,S_Dolomite_02.jpg
2.35,3.1,4.33,S_Dolomite_03.jpg
1.35,2.52,2.67,S_Dolomite_04.jpg
1.55,2.19,4.73,S_Dolomite_05.jpg
2.65,1.62,3.27,S_Dolomite_06.jpg
1.15,1.57,2.93,S_Dolomite_07.jpg
1.25,2.33,2.0,S_Dolomite_08.jpg
1.6,3.29,2.47,S_Dolomite_09.jpg
1.4,2.38,2.67,S_Dolomite_10.jpg
2.35,4.71,1.67,S_Dolomite_11.jpg
1.25,1.33,2.4,S_Dolomite_12.jpg
1.95,2.57,2.67,S_Micrite_01.jpg
1.3,1.81,2.0,S_Micrite_02.jpg
1.8,2.19,3.13,S_Micrite_03.jpg
2.0,1.48,5.93,S_Micrite_04.jpg
2.15,2.48,5.13,S_Micrite_05.jpg
1.35,3.29,2.67,S_Micrite_06.jpg
1.35,4.38,1.6,S_Micrite_07.jpg
2.15,2.0,4.33,S_Micrite_08.jpg
1.75,2.24,4.33,S_Micrite_09.jpg
1.0,1.19,3.0,S_Micrite_10.jpg
1.3,2.52,2.4,S_Micrite_11.jpg
2.1,2.81,3.07,S_Micrite_12.jpg
2.9,2.57,3.07,S_Rock Gypsum_01.jpg
3.1,2.86,4.47,S_Rock Gypsum_02.jpg
2.95,2.19,2.73,S_Rock Gypsum_03.jpg
4.25,3.14,3.33,S_Rock Gypsum_04.jpg
3.5,2.24,2.27,S_Rock Gypsum_05.jpg
2.05,2.0,4.07,S_Rock Gypsum_06.jpg
2.2,2.19,3.07,S_Rock Gypsum_07.jpg
4.0,1.95,5.87,S_Rock Gypsum_08.jpg
5.0,1.81,5.0,S_Rock Gypsum_09.jpg
3.25,2.14,3.67,S_Rock Gypsum_10.jpg
3.2,1.86,4.13,S_Rock Gypsum_11.jpg
4.2,2.62,4.4,S_Rock Gypsum_12.jpg
4.8,2.1,4.27,S_Rock Salt_01.jpg
5.3,4.24,2.67,S_Rock Salt_02.jpg
5.0,4.48,2.07,S_Rock Salt_03.jpg
7.4,3.81,3.47,S_Rock Salt_04.jpg
3.55,2.57,2.87,S_Rock Salt_05.jpg
5.75,3.43,3.13,S_Rock Salt_06.jpg
4.95,2.95,2.2,S_Rock Salt_07.jpg
5.05,1.76,3.67,S_Rock Salt_08.jpg
6.4,2.19,3.6,S_Rock Salt_09.jpg
3.5,3.1,3.07,S_Rock Salt_10.jpg
3.15,2.86,3.6,S_Rock Salt_11.jpg
5.05,2.1,3.6,S_Rock Salt_12.jpg
1.95,3.05,2.8,S_Sandstone_01.jpg
1.25,1.9,2.8,S_Sandstone_02.jpg
1.1,1.71,2.47,S_Sandstone_03.jpg
1.0,1.57,2.27,S_Sandstone_04.jpg
1.5,1.57,3.2,S_Sandstone_05.jpg
2.2,2.48,3.13,S_Sandstone_06.jpg
1.55,2.57,2.33,S_Sandstone_07.jpg
1.15,1.62,2.53,S_Sandstone_08.jpg
1.75,2.1,2.8,S_Sandstone_09.jpg
1.55,3.29,1.93,S_Sandstone_10.jpg
1.45,1.81,2.27,S_Sandstone_11.jpg
1.65,1.43,2.27,S_Sandstone_12.jpg
1.25,1.67,5.07,S_Shale_01.jpg
1.9,2.14,3.6,S_Shale_02.jpg
1.15,1.71,2.13,S_Shale_03.jpg
1.1,1.33,4.6,S_Shale_04.jpg
1.45,1.71,5.2,S_Shale_05.jpg
2.55,3.24,3.53,S_Shale_06.jpg
1.8,1.67,3.93,S_Shale_07.jpg
1.25,1.43,4.4,S_Shale_08.jpg
2.35,3.05,3.4,S_Shale_09.jpg
1.45,1.62,3.2,S_Shale_10.jpg
1.9,2.29,3.87,S_Shale_11.jpg
1.2,2.14,3.6,S_Shale_12.jpg
